File Name,Genre,Title,Artist,GT Key,Key Name
blues.00000.wav,blues,"One Bourbon, One Scotch, One Beer",John Lee Hooker,10,G
blues.00001.wav,blues,I'm In the Mood,John Lee Hooker,10,G
blues.00002.wav,blues,Think Twice Before You Go (feat. Los Lobos),John Lee Hooker,7,E
blues.00003.wav,blues,I'm Bad Like Jesse James (Live),John Lee Hooker,19,Em
blues.00004.wav,blues,Walkin' the Boogie,John Lee Hooker,13,A#m
blues.00005.wav,blues,Sugar Mama,John Lee Hooker,10,G
blues.00006.wav,blues,Dreamin' Blues,John Lee Hooker,20,Fm
blues.00007.wav,blues,Ground Hog Blues,John Lee Hooker,13,A#m
blues.00008.wav,blues,Shake It Baby,John Lee Hooker,19,Em
blues.00009.wav,blues,It's My Own Fault | Hey Baby (Medley),John Lee Hooker,22,Gm
blues.00010.wav,blues,Lonely Boy Boogie,John Lee Hooker,20,Fm
blues.00011.wav,blues,It Serves You Right to Suffer,John Lee Hooker,7,E
blues.00012.wav,blues,Cross Road Blues,Robert Johnson,14,Bm
blues.00013.wav,blues,Terraplane Blues,Robert Johnson,13,A#m
blues.00014.wav,blues,#030: Obsession,This American Life,13,A#m
blues.00015.wav,blues,Walkin' Blues,Robert Johnson,13,A#m
blues.00016.wav,blues,I Believe I'll Dust My Broom,Robert Johnson,12,Am
blues.00017.wav,blues,32-20 Blues,Robert Johnson,12,Am
blues.00018.wav,blues,Kind Hearted Woman Blues,Robert Johnson,13,A#m
blues.00019.wav,blues,If I Had Possession Over Judgement Day,Robert Johnson,12,Am
blues.00020.wav,blues,Preachin' Blues (Up Jumped the Devil),Robert Johnson,19,Em
blues.00021.wav,blues,When You Got a Good Friend,Robert Johnson,20,Fm
blues.00022.wav,blues,Ramblin' On My Mind,Robert Johnson,20,Fm
blues.00023.wav,blues,Stones In My Passway,Robert Johnson,12,Am
blues.00024.wav,blues,Traveling Riverside Blues,Robert Johnson,13,A#m
blues.00025.wav,blues,Love In Vain,Robert Johnson,13,A#m
blues.00026.wav,blues,Me and the Devil Blues,Robert Johnson,13,A#m
blues.00027.wav,blues,Hellhound On My Trail,Robert Johnson,13,A#m
blues.00028.wav,blues,Traveling Riverside Blues,Robert Johnson,13,A#m
blues.00029.wav,blues,House Carpenter,Kelly Joe Phelps,17,Dm
blues.00030.wav,blues,River Rat Jimmy,Kelly Joe Phelps,15,Cm
blues.00031.wav,blues,Hobo's Son,Kelly Joe Phelps,5,D
blues.00032.wav,blues,Katy,Kelly Joe Phelps,15,Cm
blues.00033.wav,blues,Wandering Away,Kelly Joe Phelps,8,F
blues.00034.wav,blues,Dock Boggs Country Blues,Kelly Joe Phelps,17,Dm
blues.00035.wav,blues,Capman Bootman,Kelly Joe Phelps,1,A#
blues.00036.wav,blues,Train Carried My Girl from Town,Kelly Joe Phelps,8,F
blues.00037.wav,blues,Piece By Piece,Kelly Joe Phelps,20,Fm
blues.00038.wav,blues,Many a Time,Kelly Joe Phelps,6,D#
blues.00039.wav,blues,Goodnight Irene,Kelly Joe Phelps,8,F
blues.00040.wav,blues,Love Struck Baby,Stevie Ray Vaughan & Double Trouble,11,G#
blues.00041.wav,blues,Pride and Joy,Stevie Ray Vaughan & Double Trouble,19,Em
blues.00042.wav,blues,Texas Flood,Stevie Ray Vaughan & Double Trouble,22,Gm
blues.00043.wav,blues,Tell Me,Stevie Ray Vaughan & Double Trouble,14,Bm
blues.00044.wav,blues,Testify,Stevie Ray Vaughan & Double Trouble,18,D#m
blues.00045.wav,blues,Rude Mood,Stevie Ray Vaughan & Double Trouble,18,D#m
blues.00046.wav,blues,Mary Had a Little Lamb,Stevie Ray Vaughan & Double Trouble,18,D#m
blues.00047.wav,blues,Dirty Pool,Stevie Ray Vaughan & Double Trouble,16,C#m
blues.00048.wav,blues,I'm Cryin',Stevie Ray Vaughan & Double Trouble,6,D#
blues.00049.wav,blues,Lenny,Stevie Ray Vaughan & Double Trouble,18,D#m
blues.00050.wav,blues,What's Wrong,Magic Slim,14,Bm
blues.00051.wav,blues,Snakebite,Magic Slim & The Teardrops,19,Em
blues.00052.wav,blues,Please Don't Dog Me,Magic Slim,22,Gm
blues.00053.wav,blues,Key to Your Door,Magic Slim & The Teardrops,23,G#m
blues.00054.wav,blues,Shake It,Magic Slim & The Teardrops,12,Am
blues.00055.wav,blues,I Ain't Looking for No Love,Magic Slim & The Teardrops,22,Gm
blues.00056.wav,blues,Country Boy,Magic Slim & The Teardrops,19,Em
blues.00057.wav,blues,Lump On Your Stump,Magic Slim & The Teardrops,14,Bm
blues.00058.wav,blues,Lonesome Trouble,Magic Slim & The Teardrops,22,Gm
blues.00059.wav,blues,The Man You Need,Magic Slim & The Teardrops,22,Gm
blues.00060.wav,blues,Mind Your Own Business,Magic Slim & The Teardrops,12,Am
blues.00061.wav,blues,Boppin' The Rock,Clifton Chenier,22,Gm
blues.00062.wav,blues,The Things I Did For You (Take 1),Clifton Chenier,22,Gm
blues.00063.wav,blues,Yesterday (I Lost My Best Friend) [Take 4],Clifton Chenier,20,Fm
blues.00064.wav,blues,Squeeze-Box Boogie,Clifton Chenier,20,Fm
blues.00065.wav,blues,I'm On My Way (Part 1),Clifton Chenier,15,Cm
blues.00066.wav,blues,Ay-Te Te Fee (Take 8),Clifton Chenier,22,Gm
blues.00067.wav,blues,All Night Long,Clifton Chenier,22,Gm
blues.00068.wav,blues,Opelousas Hop,Clifton Chenier,8,F
blues.00069.wav,blues,I'm On My Way (Part 2),Clifton Chenier,22,Gm
blues.00070.wav,blues,Think It Over (Take 4),Clifton Chenier,20,Fm
blues.00071.wav,blues,Zodico Stomp,Clifton Chenier,20,Fm
blues.00072.wav,blues,The Cat's Dreamin',Clifton Chenier,20,Fm
blues.00073.wav,blues,I Bought a Racoon,Buckwheat Zydeco Ils Sont Partis,18,D#m
blues.00074.wav,blues,"Bim Bam, Thank You Mam",Buckwheat Zydeco Ils Sont Partis,18,D#m
blues.00075.wav,blues,Ya Ya,Buckwheat Zydeco,15,Cm
blues.00076.wav,blues,Buck's Nouvelle Jole Blon,Buckwheat Zydeco,13,A#m
blues.00077.wav,blues,On a Night Like This,Buckwheat Zydeco,20,Fm
blues.00078.wav,blues,Hot Tamale Baby,Buckwheat Zydeco,18,D#m
blues.00079.wav,blues,Ma Tit Fille,Buckwheat Zydeco,18,D#m
blues.00080.wav,blues,Hey Good Lookin',Buckwheat Zydeco,15,Cm
blues.00081.wav,blues,Buck's Hot Rod,Buckwheat Zydeco,22,Gm
blues.00082.wav,blues,Why Does Love Got To Be So Sad,Buckwheat Zydeco,12,Am
blues.00083.wav,blues,Drivin Old Grey,Buckwheat Zydeco,13,A#m
blues.00084.wav,blues,Zydeco Honky Tonk,Buckwheat Zydeco,18,D#m
blues.00085.wav,blues,Crow Jane,Hot Toddy,22,Gm
blues.00086.wav,blues,Cross Cut Saw,Hot Toddy,22,Gm
blues.00087.wav,blues,Right from the Start,Hot Toddy,21,F#m
blues.00088.wav,blues,She's My Girl,Hot Toddy,-1,unknown/modulation
blues.00089.wav,blues,I Wish You Would,Hot Toddy,12,Am
blues.00090.wav,blues,One More Night,Hot Toddy,19,Em
blues.00091.wav,blues,Rescue Me,Hot Toddy,19,Em
blues.00092.wav,blues,Neighbors Land,Hot Toddy,-1,unknown/modulation
blues.00093.wav,blues,Mermaids Flirt With Me,Hot Toddy,19,Em
blues.00094.wav,blues,My Babe,Hot Toddy,12,Am
blues.00095.wav,blues,Down By the Riverside,Hot Toddy,19,Em
blues.00096.wav,blues,Long Distance,Hot Toddy,19,Em
blues.00097.wav,blues,T-Bone Shuffle,Hot Toddy,12,Am
blues.00098.wav,blues,Iceman,Albert Collins,15,Cm
blues.00099.wav,blues,Lights Are On (But Nobody's Home) [Live],Albert Collins,15,Cm
classical.00000.wav,classical,"Concerto for Oboe d'amore, Strings, and Continuo in D Major, BWV 1053: I. (Allegro) [Reconstruction: Arnold Mehl]",Heinz Holliger & Camerata Bern,5,D
classical.00001.wav,classical,UNKNOWN TITLE,UNKNOWN ARTIST,-1,unknown/modulation
classical.00002.wav,classical,"Concerto for Oboe d'amore, Strings, and Continuo in D Major, BWV 1053: III. Allegro (Reconstruction: Arnold Mehl)",Heinz Holliger & Camerata Bern,5,D
classical.00003.wav,classical,"Cantata ""Ich Steh Mit Einem Fur Im Grabe"", BWV 156: Sinfonia",Heinz Holliger & Camerata Bern,8,F
classical.00004.wav,classical,"Canonic Trio in F, BWV 1040","Heinz Holliger, Thomas Zehetmair, Massimo Polidori & Andreas Erismann",8,F
classical.00005.wav,classical,"Oboe Concerto in E-Flat, Wq 165: I. Allegro",Heinz Holliger & Camerata Bern,6,D#
classical.00006.wav,classical,"Oboe Concerto in E-Flat, Wq 165: II. Adagio ma non troppo",Heinz Holliger & Camerata Bern,6,D#
classical.00007.wav,classical,"Oboe Concerto in E-Flat, Wq 165: III. Allegro ma non troppo",Heinz Holliger & Camerata Bern,6,D#
classical.00008.wav,classical,"Oboe Concerto in B-Flat, Wq 164: I. Allegretto",Heinz Holliger & Camerata Bern,6,A#
classical.00009.wav,classical,"Oboe Concerto in B-Flat, Wq 164: II. Largo e mesto",Heinz Holliger & Camerata Bern,6,A#
classical.00010.wav,classical,"Oboe Concerto in B-Flat, Wq 164: III. Allegro moderato",Heinz Holliger & Camerata Bern,6,A#
classical.00011.wav,classical,"Symphony No. 36 in C Major, K425 'Linz': I. Adagio: Allegro spiritoso",Gunther Hasselmann,3,C
classical.00012.wav,classical,"Symphony No. 36 in C Major, K425 'Linz': II. Poco adagio",Gunther Hasselmann,3,C
classical.00013.wav,classical,"Symphony No. 36 in C Major, K425 'Linz': III. Menuetto",Gunther Hasselmann,3,C
classical.00014.wav,classical,"Symphony No. 36 in C, K. 425, ""Linz"": IV. Finale (Presto)",Academy of St Martin in the Fields & Sir Neville Marriner,3,C
classical.00015.wav,classical,"Symphony No. 38 in D Major, K504 'Prague': I. Adagio: Allegro",Gunther Hasselmann,5,D
classical.00016.wav,classical,"Symphony No. 38 in D Major, K504 'Prague': II. Andante",Gunther Hasselmann,5,D
classical.00017.wav,classical,"Symphony No. 38 in D Major, K. 504 ""Prague"": III. Finale (Presto)",Academy of St Martin in the Fields & Sir Neville Marriner,5,D
classical.00018.wav,classical,"Symphony No. 39 in E-Flat, K. 543: I. Adagio - Allegro",Academy of St Martin in the Fields & Sir Neville Marriner,6,D#
classical.00019.wav,classical,"Symphony No. 39 in E Flat Major, K543: II. Andante con moto",Gunther Hasselmann,6,D#
classical.00020.wav,classical,"Symphony No. 39 in E Flat Major, K543: III. Menuetto (Allegro)",Gunther Hasselmann,6,D#
classical.00021.wav,classical,"Symphony No. 39 in E-Flat Major, K. 543: IV. Finale (Allegro)",Academy of St Martin in the Fields & Sir Neville Marriner,6,D#
classical.00022.wav,classical,"Symphony No. 40 in G Minor, K. 550: I. Molto Allegro",Sir Neville Marriner & Academy of St Martin in the Fields,22,Gm
classical.00023.wav,classical,"Symphony No. 40 in G Minor, K. 550: II. Andante",Academy of St Martin in the Fields & Sir Neville Marriner,22,Gm
classical.00024.wav,classical,"Symphony No. 40 in G Minor, K. 550: III. Menuetto (Allegretto)",Academy of St Martin in the Fields & Sir Neville Marriner,22,Gm
classical.00025.wav,classical,UNKNOWN TITLE,UNKNOWN ARTIST,-1,unknown/modulation
classical.00026.wav,classical,"Symphony No. 41 in C Major, K. 551 ""Jupiter"": I. Allegro vivace",Academy of St Martin in the Fields & Sir Neville Marriner,3,C
